"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"282",282,"NOVO HORIZONTE",0,4,19.73,100,"0.514323",12238,NA,3,1,"1",484.61,7.99,0,16.15,137.31,7.99,0,16.15,169.61,23.97,8.17,290.67
"283",283,"NOVO TRIUNFO",0,3,63.73,100,"0.512311",15993,NA,2.5,1,"1",68.68,0,0,0,199.8,0,0,0,131.12,0,0,25.91
"284",284,"OLINDINA",0,1,42.22,89.62,"0.439278",26817,26817,2.75,3,"1",11.15,0,0,0,22.3,0,0,170.04,3.72,3.42,0,396.76
"285",285,"OLIVEIRA DOS BREJINHOS",0,4,6.88,87.86,"0.500896",22774,NA,3.25,1,"1",17.55,4.39,0,4.58,43.88,8.77,13.74,4.58,61.43,17.54,1034.89,210.77
"286",286,"OURICANGAS",0,3,56.66,94.39,"0.430488",8839,8839,3,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,46.71
"287",287,"OUROLANDIA",0,3,11.62,100,"0.495987",17775,NA,4,3,"1",2406.15,5.55,11.5,17.19,178.23,0,0,0,1197.5,22.19,11.5,670.45
"288",288,"PALMAS DE MONTE ALTO",0,3,8.77,61.2,"0.51499",22416,NA,4.5,3,"1",80.05,0,4.61,0,8.89,4.43,0,0,44.47,4.43,18.43,510.34
"289",289,"PALMEIRAS",0,3,12.46,100,"0.526972",9130,9130,5,1,"1",620.17,32.43,0,44.35,10.88,0,0,0,65.28,21.62,22.32,1751.86
"290",290,"PARAMIRIM",0,3,20.41,100,"0.59535",22077,NA,5.25,1,"1",270.47,4.49,422.9,643.31,0,0,13.94,9.26,595.02,13.46,1552.19,2314.06
"291",291,"PARATINGA",0,3,12.5,94.17,"0.415562",NA,NA,5.25,1,"1",60.96,3.03,313.94,9.38,42.67,0,9.42,12.5,94.49,15.17,941.83,78.12
"292",292,"PARIPIRANGA",0,3,68.81,69.73,"0.498695",29878,NA,2.25,3,"1",60.04,0,3.45,3.45,290.19,0,10.36,6.9,313.54,0,107.06,1038.32
"293",293,"PAU BRASIL",NA,3,17.22,100,"0.509099",10905,NA,4.75,3,"1",2735.53,0,0,0,1910.24,9.37,0,0,6073.81,131.17,10.02,20.34
"294",294,"PAULO AFONSO",1,5,77.62,68.72,"0.669073",119214,119214,3,3,"1",255.98,2.49,5.13,5.94,487.78,1.66,1.71,0.85,491.12,4.97,3.42,112.07
"295",295,"PE DE SERRA",0,3,23.84,100,"0.560485",14471,NA,4.5,3,"3",154.61,21.09,2455.7,51.55,35.14,0,14.7,0,119.47,0,176.46,346.15
"296",296,"PEDRAO",0,3,47.23,100,"0.578622",7568,NA,2.25,3,"1",0,0,13.7,0,0,0,0,979.99,0,0,0,299.44
"297",297,"PEDRO ALEXANDRE",1,3,20.28,98.06,"0.537501",18135,NA,5,3,"1",NA,NA,NA,NA,0,0,0,48,11.01,5.49,0,377.99
"298",298,"PIATA",0,4,10.06,100,"0.501263",NA,NA,4.75,1,"1",10.89,0,0,5.84,NA,NA,NA,NA,5.44,0,0,5.84
"299",299,"PILAO ARCADO",1,4,3.06,46.45,"0.438662",NA,NA,4.5,1,"1",8.43,0,0,0,14.05,0,11.6,0,53.39,11.19,475.56,22.83
"300",300,"PINDAI",0,3,26.81,95.53,"0.479092",16805,NA,4,3,"1",332.36,0,0,0,11.87,0,0,0,593.51,0,0,645.76
"301",301,"PINDOBACU",1,1,42.74,100,"0.523042",NA,NA,2,1,"1",302.02,9.45,0,0,566.28,14.17,0,0,18.88,42.51,9.9,44.67
"302",302,"PINTADAS",0,3,17.05,87.69,"0.510487",10742,10742,5.25,3,"3",335.27,0,0,67.07,18.12,18.16,0,0,90.61,9.08,0,1379.71
"303",303,"PIRAI DO NORTE",NA,3,53.69,99.74,"0.524175",10360,NA,4.75,1,"1",9.63,0,0,0,NA,NA,NA,NA,38.51,0,0,319.27
"304",304,"PIRIPA",0,3,23.52,100,"0.620667",12238,NA,4.25,1,"1",689.66,0,0,0,74.78,0,9.13,9.34,1046.95,0,9.13,0
"305",305,"PIRITIBA",0,1,25.5,89.93,"0.393758",25027,NA,3.75,3,"1",2047.84,0,0,8.08,499.96,99.16,0,0,235.98,15.87,4.08,206.02
"306",306,"PLANALTINO",0,3,9.97,100,"0.418604",9473,NA,2.5,3,"1",104.94,0,10.79,0,10.49,0,0,0,94.45,0,0,42.91
"307",307,"PLANALTO",0,3,34.78,100,"0.532294",26632,NA,0.5,3,"1",NA,NA,NA,NA,14.96,0,0,0,1779.91,0,0,3.81
"308",308,"POCOES",0,5,52.06,100,"0.537464",48729,NA,3.25,3,"1",32.79,2.05,2.13,0,14.34,2.05,0,0,69.67,6.14,6.4,2.13
"309",309,"POJUCA",NA,5,120.64,100,"0.585737",37543,37543,1.5,3,"3",71.07,2.52,2.56,0,15.79,0,5.12,25.3,15.79,12.59,5.12,255.57
"310",310,"PONTO NOVO",1,3,29.98,100,"0.492685",16168,NA,3.75,3,"1",880.95,6.32,0,100.58,981.63,0,0,0,308.33,6.32,6.66,167.63
"311",311,"PORTO SEGURO",NA,5,64.51,96.26,"0.706715",145431,145431,1.25,3,"1",425.92,152.02,10.23,24.88,90.88,33.48,6.82,10.76,54.94,40.18,8.87,71.96
"312",312,"POTIRAGUA",NA,3,7.82,100,"0.639031",8969,NA,3.25,3,"1",1242.24,0,0,0,11.5,0,0,0,23,0,0,0
"313",313,"PRADO",NA,3,17.34,100,"0.531497",29218,NA,1.75,3,"1",184.47,10.23,3.55,7.1,23.91,75.02,24.87,21.3,181.05,68.2,24.87,127.78
"314",314,"PRESIDENTE DUTRA",0,3,67.65,100,"0.564151",14712,NA,4.5,3,"1",592.39,12.71,0,6.6,76.44,0,0,0,522.33,38.13,0,455.69
"315",315,"PRESIDENTE JANIO QUADROS",0,3,11.13,100,"0.609589",13178,13178,3,1,"1",14.86,7.5,0,16.21,0,0,0,0,44.59,0,8,162.1
"316",316,"PRESIDENTE TANCREDO NEVES",NA,3,62.92,99.39,"0.449923",27505,NA,3.5,1,"1",2992.48,10.68,10.94,28.86,21.58,3.56,0,3.61,50.35,3.56,7.29,580.83
"317",317,"QUEIMADAS",0,3,13.19,79.18,"0.477624",26083,NA,4.25,3,"1",222.43,0,3.93,0,184.73,11.3,0,7.86,180.96,3.77,3.93,98.27
"318",318,"QUIJINGUE",0,3,20.68,93.8,"0.502656",28655,NA,2,3,"1",637.34,3.49,0,3.63,1439.28,3.49,0,3.63,77.04,3.49,25.42,1232.78
"319",319,"QUIXABEIRA",0,3,25.69,100,"0.530207",10033,NA,3.5,3,"1",95.6,0,0,0,53.11,10.63,0,11.15,435.52,10.63,0,1025.41
"320",320,"RAFAEL JAMBEIRO",0,3,21.57,100,"0.541886",24349,NA,5.25,3,"3",97.77,8.49,0,30.94,25.5,0,0,17.68,29.76,0,4.42,1021.18
"321",321,"REMANSO",1,1,9.07,85.78,"0.466051",42275,42275,4.25,1,"1",852.15,18.75,41.26,29.26,68.27,2.34,2.43,0,150.66,74.99,507.28,409.68
"322",322,"RETIROLANDIA",0,3,60.36,92.69,"0.60342",13319,NA,1.5,3,"1",1873.25,33.94,0,0,1018.66,0,0,0,232.45,13.58,0,111.14
"323",323,"RIACHAO DAS NEVES",NA,3,3.9,100,"0.485806",23264,NA,4.25,1,"2",0,4.29,4.48,0,NA,NA,NA,NA,25.76,72.92,26.85,241.73
"324",324,"RIACHAO DO JACUIPE",0,1,30.05,95.66,"0.61792",35403,35403,4.5,3,"3",262.13,698.6,155.67,388.8,293.82,69,14.97,442.64,72.01,115,137.71,2204.21
"325",325,"RIACHO DE SANTANA",0,3,11.38,81.55,"0.527758",NA,NA,4.5,1,"1",44.14,0,19.86,0,5.52,0,2.84,0,74.49,5.49,437,1326.9
"326",326,"RIBEIRA DO AMPARO",0,3,22.94,81.78,"0.509082",15269,NA,1.5,3,"1",300.5,6.48,0,0,1502.48,0,0,6.85,783.9,0,13.47,13.71
"327",327,"RIBEIRA DO POMBAL",0,5,46.52,88.44,"0.597285",51418,51418,5,3,"1",282.99,40.03,43.43,1.86,580.58,94.61,307.8,46.46,38.34,56.4,130.3,18.58
"328",328,"RIBEIRAO DO LARGO",0,3,5.75,100,"0.396508",8260,NA,2.5,3,"1",51.05,0,0,0,NA,NA,NA,NA,114.87,0,0,34.41
"329",329,"RIO DE CONTAS",0,3,12.18,100,"0.563337",13616,13616,2,1,"1",NA,NA,NA,NA,0,0,7.66,0,404.98,0,306.56,123.18
"330",330,"RIO DO ANTONIO",0,3,20.21,100,"0.667011",15628,NA,4.5,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,38.17,6.33,6.54,0
"331",331,"RIO DO PIRES",0,4,18.45,100,"0.497142",12084,NA,1.75,1,"1",355.11,0,0,0,8.26,8.24,8.59,0,256.01,107.17,51.52,137.28
"332",332,"RIO REAL",NA,1,55.63,62.91,"0.491952",40809,NA,4,3,"1",94.93,9.58,4.94,780.71,214.19,7.18,7.41,461.55,21.91,7.18,2.47,535.21
"333",333,"RODELAS",1,1,4.21,97.3,"0.59749",8887,8887,2.25,1,"1",21.51,0,10.85,10.72,290.42,10.63,0,21.43,86.05,21.27,0,150.04
"334",334,"RUY BARBOSA",0,1,16.03,98.67,"0.511883",31867,31867,5.25,1,"1",219.21,0,0,16.23,1189.99,6.25,0,9.74,128.39,24.99,0,97.36
"335",335,"SALINAS DA MARGARIDA",NA,3,102.87,91.6,"0.612933",15385,NA,1.5,5,"1",12.83,0,0,0,6.42,0,0,6.38,0,0,0,19.15
"336",336,"SALVADOR",NA,5,4234.59,38.84,"0.731191",2921087,2921087,1.75,5,"5",31.62,11.88,4.23,20.75,28.79,10.77,3.39,133.44,114.87,70.99,42.7,322.63
"337",337,"SANTA BARBARA",0,3,61.41,100,"0.503587",20754,20754,4.75,3,"3",51.62,149.43,9.66,456.93,9.39,28.02,4.83,67.34,23.46,28.02,9.66,2121.11
"338",338,"SANTA BRIGIDA",1,3,16.77,100,"0.584003",15100,15100,5,3,"1",6.63,0,0,0,2922.27,0,0,0,3366.24,0,7.1,7.04
"339",339,"SANTA CRUZ CABRALIA",NA,1,19.41,100,"0.592802",28226,28226,1.75,1,"1",165.53,14.01,10.86,0,105.66,451.81,86.87,0,348.67,833.57,257,399.6
"340",340,"SANTA CRUZ DA VITORIA",NA,1,23.67,100,"",6750,NA,4,3,"1",104.12,0,0,0,490.85,14.93,0,0,1636.17,59.72,0,63.34
"341",341,"SANTA INES",0,1,29.45,100,"0.529585",11177,11177,3.5,1,"1",4234.94,8.96,0,0,1128.12,0,0,0,125.35,0,0,9.41
"342",342,"SANTA LUZIA",NA,3,8.32,100,"0.460357",13626,NA,0,1,"1",1539.83,59.71,7.84,7.94,1510.22,335.87,23.53,0,1362.16,29.86,0,0
"343",343,"SANTA MARIA DA VITORIA",NA,5,50.68,100,"0.510956",41795,41795,3.75,1,"1",2.39,0,2.51,0,0,4.79,0,12.55,129.24,177.16,723.95,1320.12
"344",344,"SANTA RITA DE CASSIA",NA,1,14.6,94.75,"0.520621",28822,28822,3.5,1,"2",17.25,0,3.55,0,0,6.86,0,10.59,48.3,171.55,17.74,49.4
"345",345,"SANTA TERESINHA",0,3,5.56,90.47,"0.59587",10586,10586,5.25,3,"1",122.42,0,0,0,47.09,0,0,0,65.92,0,0,172.99
"346",346,"SANTALUZ",0,1,171.63,75.5,"0.530721",36915,NA,1.25,3,"1",633.19,13.01,5.38,2.68,3179.05,13.01,0,2.68,340.14,127.53,10.76,101.75
"347",347,"SANTANA",0,3,4.54,76.22,"0.479698",27260,NA,5,1,"1",NA,NA,NA,NA,0,0,0,3.76,219.13,0,7.54,202.9
"348",348,"SANTANOPOLIS",0,3,12.84,100,"0.538858",9442,NA,4.75,3,"3",0,0,0,156.55,0,0,0,55.91,10.83,0,0,2158.11
"349",349,"SANTO AMARO",NA,5,126.37,75.98,"0.615891",61702,61702,2,3,"5",6.47,0,0,11.65,43.66,8.07,1.68,104.88,24.26,3.23,6.72,193.11
"350",350,"SANTO ANTONIO DE JESUS",NA,5,391.49,82.64,"0.724647",101548,101548,4.5,3,"1",439.16,4.84,0,6.9,176.64,0,0.99,3.94,43.92,13.55,8.95,511.27
"351",351,"SANTO ESTEVAO",0,1,148.4,90.94,"0.615305",53193,53193,3.25,3,"3",1.87,0,9.54,60.55,1.87,1.86,0,22.71,13.09,25.97,62.96,3065.28
"352",352,"SAO DESIDERIO",NA,3,2.19,100,"0.664064",32640,NA,3.75,1,"2",18.09,0,6.03,20.75,6.03,26.74,6.03,11.85,15.07,26.74,60.25,171.89
"353",353,"SAO DOMINGOS",0,3,32.35,100,"0.652817",9877,NA,2.5,3,"1",703.55,53.17,0,0,394.41,31.9,0,11.04,255.84,21.27,33.18,253.92
"354",354,"SAO FELIPE",NA,3,98.63,96.72,"0.679981",21582,NA,3,3,"1",104.86,0,37.97,0,31.91,0,0,4.75,27.35,0,0,42.71
"355",355,"SAO FELIX",NA,5,147.95,100,"0.610543",15091,15091,3.75,3,"1",26.19,0,0,0,0,0,0,0,32.74,0,0,529.17
"356",356,"SAO FELIX DO CORIBE",NA,5,8.97,100,"0.487656",15647,NA,4.5,1,"1",0,6.32,6.53,0,0,12.64,19.6,0,216.04,120.06,600.91,162.43
"357",357,"SAO FRANCISCO DO CONDE",NA,5,147.58,100,"0.697421",39329,39329,2.25,3,"5",477.51,4.97,2.54,80.4,1764.26,686.23,106.77,1004.97,110.58,44.75,5.08,366.82
"358",358,"SAO GABRIEL",0,3,17.1,100,"0.455285",19542,NA,2,3,"1",10.21,0,0,0,15.31,0,0,0,25.52,0,5.32,564.04
"359",359,"SAO GONCALO DOS CAMPOS",0,1,127.67,98.18,"0.611455",37554,37554,1,3,"3",37.2,2.63,0,2.66,29.23,18.41,2.69,69.24,18.6,2.63,16.16,2034.62
"360",360,"SAO JOSE DA VITORIA",NA,3,47.54,100,"0.457834",6118,NA,3.25,1,"1",1019.57,66.17,0,0,1200.46,0,17.51,0,6758.76,99.26,105.08,17.68
"361",361,"SAO JOSE DO JACUIPE",0,3,29.62,98.39,"0.510884",11061,NA,2.75,3,"1",83.84,0,0,9.56,74.52,9.27,0,9.56,65.21,0,0,19.12
"362",362,"SAO MIGUEL DAS MATAS",NA,3,52.19,100,"0.521102",12009,12009,4.75,3,"1",91.28,0,0,0,41.49,0,0,17.13,16.6,0,8.59,42.83
"363",363,"SAO SEBASTIAO DO PASSE",NA,5,85.09,95.86,"0.611291",45482,45482,4.5,3,"5",135.79,0,2.26,13.54,10.95,4.36,0,160.27,21.9,10.91,6.79,936.79
"364",364,"SAPEACU",NA,3,137.81,100,"0.591883",17664,NA,4.75,3,"1",105.07,0,0,0,5.53,0,0,11.5,204.61,5.52,0,206.92
"365",365,"SATIRO DIAS",0,3,20.21,100,"0.574712",20320,NA,0.5,3,"1",29.45,0,0,0,34.35,0,0,214.21,152.14,0,0,613.67
"366",366,"SAUBARA",NA,3,73.97,96.14,"",12238,NA,2,5,"5",NA,NA,NA,NA,0,0,0,0,8.12,0,8.35,41.52
"367",367,"SAUDE",0,3,26.21,95.31,"0.512701",12739,NA,2.25,1,"1",29.98,119.54,0,0,37.47,0,0,0,382.22,14.94,0,170.37
"368",368,"SEABRA",0,3,18.9,54.29,"0.604704",45202,NA,3,1,"1",1387.82,4.39,0,58.97,11.01,2.19,2.28,0,748.98,4.39,2.28,1383.5
"369",369,"SEBASTIAO LARANJEIRAS",0,3,5.85,100,"0.566443",11528,NA,3.25,3,"1",1480.84,0,0,34.98,17.22,8.55,0,61.22,137.75,0,370.01,1722.93
"370",370,"SENHOR DO BONFIM",1,5,102.32,71.13,"0.587899",81330,81330,0.5,3,"1",2238.48,11.08,2.54,6.33,1474.58,14.78,1.27,5.06,508.86,29.55,6.36,155.67
"371",371,"SENTO SE",1,3,3.41,67.73,"0.436864",NA,NA,2,1,"1",33.67,2.39,2.46,0,177.99,0,2.46,0,269.39,0,2.46,100.78
"372",372,"SERRA DO RAMALHO",0,3,14.09,95.25,"0.5015",NA,NA,3,3,"1",593.94,0,6.34,0,6.06,0,0,0,306.06,0,104.66,136.63
"373",373,"SERRA DOURADA",0,3,11.53,100,"0.59649",18389,NA,1.75,3,"1",0,0,22.92,23.01,0,0,17.19,5.75,130.78,0,143.25,764.98
"374",374,"SERRA PRETA",0,3,27.16,100,"0.48197",15351,NA,1.75,3,"3",0,6.24,13.28,0,0,6.24,0,0,12.37,12.47,26.55,215.08
"375",375,"SERRINHA",0,5,141.64,78.47,"0.503448",83275,83275,1.25,3,"1",220.28,10.83,0,1.24,204.55,1.2,0,3.71,606.38,49.35,22.38,1046.24
"376",376,"SERROLANDIA",0,3,42.77,99.94,"0.489253",13373,NA,2.75,3,"1",566.28,21.69,29.97,74.64,1263.25,0,14.98,67.18,493.68,14.46,44.95,4180.04
"377",377,"SIMOES FILHO",NA,5,669.28,49.57,"0.676562",133202,133202,0.5,3,"3",413.59,63.95,0,30.51,201.23,92.61,3.01,41.67,308.89,325.62,6.77,216.55
"378",378,"SITIO DO MATO",0,3,8.22,100,"0.521242",NA,NA,4.75,3,"1",0,0,15.43,0,0,0,7.71,0,14.95,7.44,2483.61,146.02
"379",379,"SITIO DO QUINTO",0,3,16.45,100,"0.451472",11767,NA,3,3,"1",NA,NA,NA,NA,1180.86,0,9.69,30.04,251.8,8.86,48.47,90.13
"380",380,"SOBRADINHO",1,5,20.48,96.82,"0.560286",23583,23583,3.75,1,"1",8.46,0,8.77,0,198.73,0,4.38,4.31,97.25,0,4.38,43.12
"381",381,"SOUTO SOARES",0,3,16.97,100,"0.579368",17332,NA,2,1,"1",5.74,5.71,0,0,0,0,0,5.89,155,0,41.41,1507.74
"382",382,"TABOCAS DO BREJO VELHO",0,3,9.08,100,"0.561733",13025,NA,4.25,1,"2",0,0,7.99,0,0,0,7.99,0,23,0,143.8,23.97
"383",383,"TANHACU",0,3,16.67,100,"0.581467",21282,NA,5.25,3,"1",4.7,4.69,0,0,0,4.69,4.9,4.9,4.7,4.69,475.12,274.47
"384",384,"TANQUE NOVO",0,3,24.4,85.51,"0.617699",17702,NA,5.25,3,"1",202.28,0,0,0,28.09,5.59,0,0,247.23,27.96,17.36,506.74
"385",385,"TANQUINHO",0,3,33.69,100,"0.443071",8553,NA,3.25,3,"3",36.52,145.77,75.86,12.63,24.35,60.74,12.64,0,85.22,267.25,63.22,1944.94
"386",386,"TAPEROA",NA,3,47.08,98.63,"0.516311",21091,21091,2.25,1,"1",70.48,0,14.36,4.75,4.7,4.66,4.79,18.98,79.88,4.66,4.79,612.13
"387",387,"TAPIRAMUTA",0,1,24.98,88.51,"0.585689",17398,17398,2.25,1,"1",5.6,0,0,0,716.89,2364.81,23.47,11.76,515.26,3418.32,52.8,146.97
"388",388,"TEIXEIRA DE FREITAS",NA,5,137.11,89.66,"0.663358",157804,157804,1.25,3,"1",676.42,46.39,20.83,4.36,111.38,1246.21,1507.78,31.16,554.4,185.54,222.79,251.73
"389",389,"TEODORO SAMPAIO",NA,3,32.64,100,"0.604638",8013,NA,3.25,3,"3",25.05,0,0,26.94,0,0,0,26.94,0,0,0,175.08
"390",390,"TEOFILANDIA",0,3,66.27,97.49,"0.545538",23011,23011,5,3,"1",98.63,0,4.45,0,30.02,0,0,0,17.15,8.56,0,524.03
"391",391,"TEOLANDIA",NA,3,52.72,100,"0.514529",15178,NA,3.25,1,"1",975.83,13.02,0,0,26.2,6.51,0,13.38,13.1,0,6.73,107.07
"392",392,"TERRA NOVA",NA,3,73.4,100,"0.65312",13547,NA,5.25,3,"3",140.46,0,0,7.67,7.39,0,0,705.9,7.39,0,0,3744.34
"393",393,"TREMEDAL",0,3,8.88,100,"0.534821",18187,NA,3,1,"1",22.4,0,0,6.1,39.21,11.3,6.02,0,1355.44,67.8,0,18.3
"394",394,"TUCANO",0,3,23.97,93.56,"0.544033",55777,55777,0,3,"1",110.73,1.9,1.98,15.78,280.64,9.52,5.93,15.78,80.18,11.42,0,244.64
"395",395,"UAUA",1,3,8.41,100,"0.457571",25087,NA,3.75,1,"1",259.16,0,4.08,8.25,796.81,0,4.08,12.38,587.94,3.88,16.34,41.25
"396",396,"UBAIRA",0,3,31.55,87.49,"0.487187",20782,20782,1.75,1,"1",129.85,4.81,0,60.32,28.86,0,0,75.4,28.86,0,0,583.06
"397",397,"UBAITABA",NA,1,114,87.66,"0.525796",20813,NA,0.75,1,"1",48.44,4.88,0,10.5,121.09,4.88,0,5.25,121.09,14.64,10.38,20.99
"398",398,"UBATA",NA,1,153.66,79.36,"0.44493",27051,NA,4.5,1,"1",186.83,14.53,0,3.7,230.79,0,0,0,816.94,10.9,0,7.4
"399",399,"UIBAI",0,3,26.51,100,"0.502951",14483,NA,4.25,1,"1",4109.59,6.91,0,0,55.35,6.91,0,21.6,124.53,103.63,7.2,1447.4
"400",400,"UMBURANAS",0,3,10.89,76.09,"0.520715",19055,NA,3.5,1,"1",372.23,0,0,0,25.85,0,5.25,0,15.51,0,0,140.46
"401",401,"UNA",NA,3,19.26,100,"0.564992",22105,22105,4.5,1,"1",520.59,18.75,10.26,15.79,520.59,32.82,5.13,0,1110.29,32.82,5.13,31.58
"402",402,"URANDI",0,3,19.2,94.84,"0.575714",NA,NA,4.5,3,"1",334.7,0,0,150.08,NA,NA,NA,NA,0,0,0,1176.61
"403",403,"URUCUCA",NA,1,42.69,92.98,"0.477721",21849,21849,0.25,1,"1",68.88,32.24,0,4.87,303.06,303.99,0,24.37,445.4,303.99,4.85,48.74
"404",404,"UTINGA",0,1,31.07,70.68,"0.515165",19593,NA,4,1,"1",81.27,5.06,5.24,5.21,35.55,0,5.24,0,106.66,0,15.71,83.43
"405",405,"VALENCA",NA,5,87.21,56.8,"0.583135",97305,97305,0.75,1,"1",556.84,1.01,2.09,26.93,1161.62,1.01,3.13,30.03,515.03,1.01,26.08,135.66
"406",406,"VALENTE",0,1,71.99,82.25,"0.587925",27906,NA,2.5,3,"1",3032.44,3.48,0,14.05,260.33,34.79,17.77,3.51,144.23,20.87,14.22,231.8
"407",407,"VARZEA DA ROCA",0,3,31.24,100,"0.536346",14729,NA,3,3,"1",150.36,0,0,0,47.84,0,14.2,0,690.27,0,0,425.41
"408",408,"VARZEA DO POCO",0,3,45.54,64.65,"0.519643",9416,NA,4.25,3,"1",21.27,0,0,10.91,191.41,0,0,0,31.9,0,0,32.72
"409",409,"VARZEA NOVA",0,3,11.01,100,"0.583304",13470,13470,5.25,3,"1",733.33,7.43,7.83,0,7.41,22.3,0,23.63,7.41,7.43,23.49,252.03
"410",410,"VARZEDO",0,3,42.5,100,"0.624029",9363,NA,3.25,3,"1",159.42,10.67,0,0,95.65,0,0,0,127.54,0,0,147.09
"411",411,"VERA CRUZ",NA,5,144.18,90.2,"0.532608",42650,42650,0,5,"5",389.23,18.33,11.71,104.11,78.77,6.87,2.34,25.45,162.18,16.04,14.05,210.54
"412",412,"VEREDA",NA,3,8.51,100,"0.547492",6696,NA,2.75,3,"1",NA,NA,NA,NA,0,30.21,0,0,30.04,75.53,0,16.12
"413",413,"VITORIA DA CONQUISTA",0,5,93.38,58.45,"0.666214",343230,343230,0,3,"1",73.68,8.03,3.84,23.04,13.58,4.3,4.43,9.75,754.47,47.32,20.95,114.04
"414",414,"WAGNER",0,3,18.65,100,"0.465265",9731,NA,5,1,"1",10.26,0,0,0,61.58,0,0,0,71.85,0,32.1,1219.9
"415",415,"WANDERLEY",NA,3,4.44,100,"0.548272",13008,NA,5,1,"2",92.51,0,0,0,7.71,30.92,0,8.17,100.22,2234.25,8.13,408.56
"416",416,"WENCESLAU GUIMARAES",NA,3,34.25,100,"0.439809",22530,NA,1,1,"1",164.85,0,0,4.74,13.37,4.47,0,4.74,35.64,17.89,14.13,28.43
"417",417,"XIQUE-XIQUE",0,5,9.5,78.78,"0.463834",48316,48316,4.5,1,"1",2.07,0,0,0,2.07,0,2.15,0,24.86,4.14,152.89,163.5
