"","OBJECTID","mun","semi_arido","newtipology","dens_mean","percent_medio_ab","IFDM_geral_2016","SNIS_G12A_2015","SNIS_G12B_2015","mediaciclo22","bioma_2014","grupo_SES_CRI_2014","ZK_incid_2016","ZK_incid_2017","ZK_incid_2018","ZK_incid_2019","chik_incid_2016","chik_incid_2017","chik_incid_2018","chik_incid_2019","dg_incid_2016","dg_incid_2017","dg_incid_2018","dg_incid_2019"
"176",176,"ITABERABA",0,5,27.9,90.22,"0.611162",66310,66310,1,3,"1",2360.64,14.97,0,32.56,6271.02,0,1.55,1.55,1665.37,136.22,31.09,860.61
"177",177,"ITABUNA",NA,5,549.55,75.31,"0.631539",219680,219680,1.75,1,"1",8006.41,204.03,0.47,7.97,6540.8,58.36,3.29,1.88,8520.5,237.51,28.2,27.2
"178",178,"ITACARE",NA,3,38.57,99.98,"0.492037",27619,27619,5,1,"1",717.52,10.57,0,0,799.63,31.71,28.68,7.07,1831.29,281.87,39.44,151.96
"179",179,"ITAETE",0,3,12.4,100,"0.489718",16446,NA,3.75,1,"1",272.41,0,0,0,115.02,0,0,0,54.48,6.03,0,0
"180",180,"ITAGI",0,1,42.74,100,"0.545227",13359,NA,5,1,"1",22.6,7.58,0,8.1,0,0,0,0,37.66,7.58,0,0
"181",181,"ITAGIBA",0,1,19.32,77.35,"0.479749",15767,NA,1.5,3,"1",1116.85,0,0,0,204.22,6.42,0,6.86,2386.88,32.1,0,164.62
"182",182,"ITAGIMIRIM",NA,1,8.35,100,"0.562968",7351,NA,2.5,3,"1",27.33,27.43,0,0,40.99,1165.82,14.46,0,300.59,438.9,28.93,0
"183",183,"ITAGUACU DA BAHIA",0,3,3.39,93.92,"",14667,NA,1,1,"1",6.85,0,0,0,0,0,6.99,0,27.39,6.79,62.89,6.93
"184",184,"ITAJU DO COLONIA",NA,3,5.94,100,"0.501348",7353,7353,1.75,3,"1",82.37,0,0,0,6974.19,27.71,0,44.9,658.98,55.42,0,0
"185",185,"ITAJUIPE",NA,1,80.14,98.85,"0.439817",21754,21754,2,1,"1",1534.77,73.93,4.86,14.64,668.3,36.97,0,39.04,1548.6,106.27,24.29,82.96
"186",186,"ITAMARAJU",NA,5,28.52,100,"0.57993",67249,67249,1.25,3,"1",156.01,34.15,9.3,1.55,52,322.17,29.45,3.1,163.44,25.24,24.8,32.57
"187",187,"ITAMARI",NA,1,59.21,100,"0.403466",8514,NA,4.5,1,"1",11.77,0,0,0,11.77,0,0,0,0,11.8,24.79,174.24
"188",188,"ITAMBE",0,5,15.07,100,"0.459316",23327,23327,3.25,3,"1",306.74,0,0,0,NA,NA,NA,NA,168.49,8.03,0,17.35
"189",189,"ITANAGRA",0,3,15.05,100,"0.510788",8034,NA,1.25,1,"1",0,0,0,15.53,NA,NA,NA,NA,24.88,0,0,15.53
